Website,Property,Value
https://www.youtube.com/,apple-mobile-web-app-capable,""
            ,description,"Enjoy the videos and music you love, upload original content, and share it all with friends, family, and the world on YouTube."
            ,keywords,"video, sharing, camera phone, video phone, free, upload"
            ,ogDescription,""
            ,ogImage,"https://www.youtube.com/img/desktop/yt_1200.png"
            ,ogTitle,""
            ,ogType,""
            ,ogUrl,""
            ,twitterCard,""
            ,twitterDescription,""
            ,twitterTitle,""
            ,viewport,""
            ,title,"YouTube"
https://www.upwork.com/,apple-mobile-web-app-capable,""
            ,description,"Upwork connects businesses with independent professionals and agencies around the globe. Where companies and freelancers work together in new ways that unlock their potential."
            ,keywords,""
            ,ogDescription,"Upwork connects businesses with independent professionals and agencies around the globe. Where companies and freelancers work together in new ways that unlock their potential."
            ,ogImage,"https://www.upwork.com/static/w-packages/assets/open-graph/up-open-graph.png"
            ,ogTitle,"Upwork | The World’s Work Marketplace"
            ,ogType,"website"
            ,ogUrl,"https://www.upwork.com/"
            ,twitterCard,""
            ,twitterDescription,""
            ,twitterTitle,""
            ,viewport,"width=device-width, initial-scale=1, viewport-fit=cover"
            ,title,"Upwork | The World’s Work Marketplace"
https://www.twitter.com/,apple-mobile-web-app-capable,""
            ,description,"null"
            ,keywords,""
            ,ogDescription,"The latest stories on Twitter - as told by Tweets."
            ,ogImage,"https://abs.twimg.com/a/1602199131/img/moments/moments-card.jpg"
            ,ogTitle,"Explore"
            ,ogType,"article"
            ,ogUrl,"https://twitter.com/explore"
            ,twitterCard,""
            ,twitterDescription,""
            ,twitterTitle,""
            ,viewport,"width=device-width,initial-scale=1,maximum-scale=1,user-scalable=0,viewport-fit=cover"
            ,title,"Explore / Twitter"
https://www.instagram.com/,apple-mobile-web-app-capable,""
            ,description,"Create an account or log in to Instagram - A simple, fun & creative way to capture, edit & share photos, videos & messages with friends & family."
            ,keywords,""
            ,ogDescription,""
            ,ogImage,"https://static.cdninstagram.com/rsrc.php/v3/yt/r/30PrGfR3xhB.png"
            ,ogTitle,"Instagram"
            ,ogType,""
            ,ogUrl,"https://instagram.com/"
            ,twitterCard,""
            ,twitterDescription,""
            ,twitterTitle,""
            ,viewport,"width=device-width, initial-scale=1, minimum-scale=1, maximum-scale=2, viewport-fit=cover"
            ,title,"Instagram"
https://www.linkedin.com/,apple-mobile-web-app-capable,""
            ,description,"750 million+ members | Manage your professional identity. Build and engage with your professional network. Access knowledge, insights and opportunities."
            ,keywords,""
            ,ogDescription,"750 million+ members | Manage your professional identity. Build and engage with your professional network. Access knowledge, insights and opportunities."
            ,ogImage,"https://static.licdn.com/scds/common/u/images/logos/favicons/v1/favicon.ico"
            ,ogTitle,"LinkedIn: Log In or Sign Up"
            ,ogType,"website"
            ,ogUrl,"https://www.linkedin.com/"
            ,twitterCard,""
            ,twitterDescription,""
            ,twitterTitle,""
            ,viewport,"width=device-width, initial-scale=1"
            ,title,"LinkedIn: Log In or Sign Up"
https://www.github.com/,apple-mobile-web-app-capable,""
            ,description,"GitHub is where over 100 million developers shape the future of software, together. Contribute to the open source community, manage your Git repositories, review code like a pro, track bugs and features, power your CI/CD and DevOps workflows, and secure code before you commit it."
            ,keywords,""
            ,ogDescription,"GitHub is where over 100 million developers shape the future of software, together. Contribute to the open source community, manage your Git repositories, review code like a pro, track bugs and fea..."
            ,ogImage,"https://github.githubassets.com/images/modules/site/social-cards/campaign-social.png"
            ,ogTitle,"GitHub: Let’s build from here"
            ,ogType,"object"
            ,ogUrl,"https://github.com/"
            ,twitterCard,""
            ,twitterDescription,""
            ,twitterTitle,""
            ,viewport,"width=device-width"
            ,title,"GitHub: Let’s build from here · GitHub"
